sending_facility,sending_facility_oid
PROVIDENCE WILLAMETTE FALLS MED CTR NUCLEAR MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM PVDR SURG,1.2.840.114350.1.13.333.2.7.2.696570.60
ASANTE PHYSICIAN PARTNERS ANESTHESIOLOGY,1.2.840.114350.1.13.333.2.7.2.696570.10
Oregon City Medical,1.2.840.114350.1.13.297.2.7.2.696570.40
AACH Family Birth Center,1.2.840.114350.1.13.333.2.7.2.696570.10
PHS OREGON,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM EMERGENCY DEPT,1.2.840.114350.1.13.333.2.7.2.696570.60
RRMC Family Birth Center,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE NEWBERG MED CTR ULTRASOUND,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR MEDSURG 2E,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR CANBY MAMMOGRAPHY,1.2.840.114350.1.13.297.2.7.2.696570.40
SKY LAKES MEDICAL,1.2.840.114350.1.13.333.2.7.2.696570.60100
PROVIDENCE PORTLAND MED CTR CHART CORRECTION,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG HILLSBORO FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.405696
PROVIDENCE SEASIDE HOSPITAL ACCESS SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL PROVIDER CARDIO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR SE DIAGNOSTIC IMAGING XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Neurological Specialties Epilepsy,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Molalla XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL SPIRITUAL CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC UR/ED Case Managment,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MEDFORD MED CTR EXTERNAL IMAGING,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE MEDICAL MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV SPORTS CARE CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR MEDSURG 7E,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR IRF,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR NON INVASIVE LAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL CLINICAL LAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR ICU,1.2.840.114350.1.13.297.2.7.2.696570.40
Portland Surgeons,1.2.840.114350.1.13.297.2.7.2.696570.40
PHS PROVRN,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Social Worker,1.2.840.114350.1.13.333.2.7.2.696570.10
OPH PROVIDENCE GRESHAM MEDICAL PLAZA,1.2.840.114350.1.13.297.2.7.2.696570.405141009
MULTNOMAH FAMILY CARE CTR,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ARTHRITIS CENTER PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ORCA Provider System Telepsych,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PEDIATRICS 4E,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV SEASIDE HOSP REHAB SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
Prov Heart Clinic Basecamp,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WOMENS CLINIC PSVMC,1.2.840.114350.1.13.297.2.7.2.696570.405605
Aloha Family Practice Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR MP INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE PSYCHIATRY,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM PHYSICAL THERAPY,1.2.840.114350.1.13.333.2.7.2.696570.60
PROV INTEGRATIVE MEDICINE BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV NICU OP APPOINTMENTS,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM AFM LAB,1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE PORTLAND MED CTR ANTICOAG PHARMACOTHERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Valve Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV WARRENTON GENERAL SURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR ANTICOAG PHARMACOTHER,1.2.840.114350.1.13.297.2.7.2.696570.40
The Radiology Spec NW PPMC,1.2.840.114350.1.13.297.2.7.2.696570.40
OSS PROVIDENCE SEASIDE HOSPITAL,1.2.840.114350.1.13.297.2.7.2.696570.402101
PMG MEDFORD INFECTIOUS DISEASE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER ACC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - TANASBOURNE ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence OR System Telehospitalist,1.2.840.114350.1.13.297.2.7.2.696570.40
Sky Lakes Medical Center Diagnostic Imaging,1.2.840.114350.1.13.333.2.7.2.696570.60
THE PORTLAND CLINIC DOWNTOWN,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford Medical Clinic Ellendale CT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL SLEEP LAB AND EEG,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH THE OREGON CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.405141006
Providence NICU NNP PSTV,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ASTORIA GENERAL SURG,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG PHARMACEUTICALS MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
Microneurosurgical Consultants (V),1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Pharmacy,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MILWAUKIE HOSPITAL PROVIDER PSYCH,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL ORTHO XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
OCHIN INC,1.2.840.114350.1.13.66.2.7.2.696570.1
Sellwood Medical Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR RESPIRATORY TELEMETRY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS PROVIDER ACC,1.2.840.114350.1.13.297.2.7.2.696570.40
The Or Clinic West ENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL ULTRASOUND,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR GAMMA KNIFE,1.2.840.114350.1.13.297.2.7.2.696570.40
The Oregon Clinic Hyt 514,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR BEH HLTH ADULT 5E,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PSYCHIATRY EAST,1.2.840.114350.1.13.297.2.7.2.696570.405587
OHR MONTELLO ST BLDG,1.2.840.114350.1.13.297.2.7.2.696570.404101005
PROV EC WALGREENS BETHANY,1.2.840.114350.1.13.297.2.7.2.696570.405567
PROVIDENCE SAINT VINCENT MED CTR NURSERY,1.2.840.114350.1.13.297.2.7.2.696570.40
ONE COMMUNITY HEALTH HOOD RIVER,1.2.840.114350.1.13.66.2.7.2.696570.68001
JOHN J OSHEA,1.2.840.114350.1.13.297.2.7.2.696570.40
ASANTE PHARMACY GP,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MEDFORD MED CTR PULMONARY FUNCTION,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG GATEWAY FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.405633
Clackams Pediatric Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Behavioral Health Unit,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Emergency Department,1.2.840.114350.1.13.333.2.7.2.696570.10
Cascade Physicians Brdgtwn,1.2.840.114350.1.13.297.2.7.2.696570.40
Endocrine and Osteoporosis,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV SUNSET BUSINESS PARK,1.2.840.114350.1.13.297.2.7.2.696570.405161001
Pacific Medical Group Beaverton,1.2.840.114350.1.13.297.2.7.2.696570.40
The OR CL Gateway PULM,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CANBY FM,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR MED TELEMETRY 2W,1.2.840.114350.1.13.297.2.7.2.696570.40
The oregon Clinic Neurology,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV CARDIAC CLINIC DEVICE &amp; MONITORING NEWBERG,1.2.840.114350.1.13.297.2.7.2.696570.40
OWF LABOR AND DELIVERY IP,1.2.840.114350.1.13.297.2.7.2.696570.40
Adventist Health Clackamas,1.2.840.114350.1.13.297.2.7.2.696570.40
Southwest Family Physicians,1.2.840.114350.1.13.297.2.7.2.696570.40
The OR Clinic Urology,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV OB HOSPITALISTS PPMC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR ICU,1.2.840.114350.1.13.297.2.7.2.696570.40
OHSU NW Cho,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR GENERIC OP CONV DEPT,1.2.840.114350.1.13.297.2.7.2.696570.40
Cascade Summit Family Practice,1.2.840.114350.1.13.297.2.7.2.696570.40
CC OOC OREGON CITY FAMILY PRACTICE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.7221101
PMG ASHLAND REHAB SPORTS THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR MEDSURG 5R,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HOOD RIVER MEM HOSP GORGE COUNSELING SATELLITE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR LABORATORY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC HEART RHYTHM CONSULT HILLSBORO,1.2.840.114350.1.13.297.2.7.2.696570.40
EXOR PACIFIC DIRECT CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
Oregon Urology Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL PROVIDER CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEM HOSP BEHAVIORAL HEALTH,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR HEALTH INFORMATION MGMT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR ARRHYTHMIA SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR CV INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR OP INFUSION,1.2.840.114350.1.13.297.2.7.2.696570.40
Adventist Health Gresham Stn,1.2.840.114350.1.13.297.2.7.2.696570.40
Gastroenterology Specialists OR Tual,1.2.840.114350.1.13.297.2.7.2.696570.40
OHR PROVIDENCE MOUNTAIN CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.404101003
PROVIDENCE MILWAUKIE HOSPITAL MAIN OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL PROVIDER NICU,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL PROVIDER NEPHROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Physician Partners Fam Med Behavioral Health,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Health Information Management,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE NEWBERG MED CTR CLINICAL LABORATORY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDICAL GROUP LLOYD XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL FAM MED PSC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR CV INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
Pacific Medical Group Nportland,1.2.840.114350.1.13.297.2.7.2.696570.40
AACH LABORATORY,1.2.840.114350.1.13.333.2.7.2.696570.10
PROV STV HC HEART RHYTHM AT BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.40
The OR CL Gateway GI,1.2.840.114350.1.13.297.2.7.2.696570.40
RADIATION ONCOLOGY-PPMC,1.2.840.114350.1.13.297.2.7.2.696570.40
Adventist Portland Lung Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR ICU,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV WOMENS CLINIC PSVMC,1.2.840.114350.1.13.297.2.7.2.696570.405605
PROVIDENCE HEART CLINIC - GRESHAM ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM NUC MED IMAGING,1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE PORTLAND MED CTR PLAZA XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR EAGLE POINT LAB PSC,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Nutrition,1.2.840.114350.1.13.333.2.7.2.696570.10
PROV EASTSIDE ONCOLOGY AND HEMATOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.405627
PROVIDENCE SAINT VINCENT HCC SALEM CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC HOOD RIVER,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Physical Therapist,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE WILLAMETTE FALLS MED CTR OB PROCEDURES,1.2.840.114350.1.13.297.2.7.2.696570.40
Doctors Office of Canby,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC GRESHAM,1.2.840.114350.1.13.297.2.7.2.696570.405575
Providence Gynecology Clinic West,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC WIC Laboratory,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Provider NICU,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MILWAUKIE HOSPITAL LABORATORY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MOLALLA PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG INFECTIOUS DISEASE CONSULTANTS EAST,1.2.840.114350.1.13.297.2.7.2.696570.405715
PROVIDENCE MEDFORD MED CTR REFERENCE TEST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR OT MOB IP,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Critical Care Unit,1.2.840.114350.1.13.333.2.7.2.696570.10
Hood River Care Center,1.2.840.114350.1.13.297.2.7.2.696570.40
Childrens Clinic Peterkort,1.2.840.114350.1.13.297.2.7.2.696570.40
The Oregon CL East ENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ACUTE THERAPY PT,1.2.840.114350.1.13.297.2.7.2.696570.40
"Leedy, Daniel Allen MD",1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR MICRO MOLECULAR,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Provider Surgery,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Reference Lab,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE WILLAMETTE FALLS ELECTRODIAGNOSTICS,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM Main Operating Room,1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE MEDFORD MED CTR OUTPATIENT TRANSFUSION,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM AMBULATORY CARE,1.2.840.114350.1.13.333.2.7.2.696570.60
The Oregon Clinic GI STARK,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
The OR CL ENT Plaza,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER NEPHROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR PRE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR LABORATORY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC CARDIOVASCULAR SURGERY EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS PROVIDER NEURO,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Neuroscience &amp; Orthopedics,1.2.840.114350.1.13.333.2.7.2.696570.10
Edward E Conrad MD,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM CT IMAGING,1.2.840.114350.1.13.333.2.7.2.696570.60
MIR CLINIC DR MIRTORABI,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL ICU,1.2.840.114350.1.13.297.2.7.2.696570.40
Family Practice Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
Waldorf Center Wilshire,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR MJP ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL ANESTHESIA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR CARDIOLOGY A,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CHILD CTR CHART CORRECTION,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM XR IMAGING,1.2.840.114350.1.13.333.2.7.2.696570.60
LPHC CHC Medical,1.2.840.114350.1.13.66.2.7.2.696570.71
La Pine School Based Health Center,1.2.840.114350.1.13.66.2.7.2.696570.71
Mosaic Medical Bend,1.2.840.114350.1.13.66.2.7.2.696570.70
LPHC WALK-IN,1.2.840.114350.1.13.66.2.7.2.696570.71
PROV HH EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
MM Ariels,1.2.840.114350.1.13.66.2.7.2.696570.70
Mosaic Medical Madras,1.2.840.114350.1.13.66.2.7.2.696570.70
Mosaic Medical Prineville,1.2.840.114350.1.13.66.2.7.2.696570.70
Mosaic Medical Redmond PC,1.2.840.114350.1.13.66.2.7.2.696570.70
MM INTERNAL MEDICINE,1.2.840.114350.1.13.66.2.7.2.696570.70
MM BRIDGES HEALTH,1.2.840.114350.1.13.66.2.7.2.696570.70
La Pine Community Health Center - Christmas Valley,1.2.840.114350.1.13.66.2.7.2.696570.71
Gilchrist School Based Health Center,1.2.840.114350.1.13.66.2.7.2.696570.71
LA CLINICA CENTRAL POINT DENTAL CLINIC,1.2.840.114350.1.13.66.2.7.2.696570.30
MM ANNEX,1.2.840.114350.1.13.66.2.7.2.696570.70
Mosaic Medical Mobile,1.2.840.114350.1.13.66.2.7.2.696570.70
PROVIDENCE NE HEALTH AND WELLNESS,1.2.840.114350.1.13.297.2.7.2.696570.40
La Pine Community Health Center - Sunriver Clinic,1.2.840.114350.1.13.66.2.7.2.696570.71
Mosaic Medical Dental Van,1.2.840.114350.1.13.66.2.7.2.696570.70
OR DEF HOSP CNV LOC JV,1.2.840.114350.1.13.297.2.7.2.696570.40
MM TRANSITIONS,1.2.840.114350.1.13.66.2.7.2.696570.70
Crook County Health Department,1.2.840.114350.1.13.66.2.7.2.696570.56
AACH Health Information Management,1.2.840.114350.1.13.333.2.7.2.696570.10
JEFFERSON COUNTY HEALTH DEPARTMENT,1.2.840.114350.1.13.66.2.7.2.696570.98
MOSAIC MADRAS SCHOOL BASED HEALTH CENTER,1.2.840.114350.1.13.66.2.7.2.696570.70
La Pine Community Health Center - South County,1.2.840.114350.1.13.66.2.7.2.696570.71
MM ENSWORTH SBHC,1.2.840.114350.1.13.66.2.7.2.696570.70
Mosaic Medical Crook County SBHC,1.2.840.114350.1.13.66.2.7.2.696570.70
PROV EXPRESS CARE PEARL,1.2.840.114350.1.13.297.2.7.2.696570.405773
MM REDMOND LYNCH SBHC,1.2.840.114350.1.13.66.2.7.2.696570.70
Deschutes County Behavioral Health Main Clinic,1.2.840.114350.1.13.66.2.7.2.696570.14
Deschutes County Behavioral Health Downtown Clinic,1.2.840.114350.1.13.66.2.7.2.696570.14
Deschutes County Behavioral Health Wall St Clinic,1.2.840.114350.1.13.66.2.7.2.696570.14
Deschutes County Behavioral Health South County Clinic,1.2.840.114350.1.13.66.2.7.2.696570.14
CROOK COUNTY JAIL,1.2.840.114350.1.13.66.2.7.2.696570.56
MM Bend High,1.2.840.114350.1.13.66.2.7.2.696570.70
Deschutes County Health Department,1.2.840.114350.1.13.66.2.7.2.696570.14
Deschutes County Behavioral Health North County,1.2.840.114350.1.13.66.2.7.2.696570.14
Deschutes County Home Visiting PH,1.2.840.114350.1.13.66.2.7.2.696570.14
JEFFERSON MATERNAL CHILD AND HEALTH,1.2.840.114350.1.13.66.2.7.2.696570.98
PMG BATTLE GROUND WALK IN,1.2.840.114350.1.13.297.2.7.2.696570.40
OSS SEASIDE RHC,1.2.840.114350.1.13.297.2.7.2.696570.402611
PROVIDENCE SEASIDE HOSPITAL PREADMIT CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR PREADMIT CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
ASANTE PHYSICIAN PARTNERS HEALTH INFORMATION SERVICES,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE SAINT VINCENT MED CTR MED STAFF,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HH N COAST,1.2.840.114350.1.13.297.2.7.2.696570.40
NW Pediatric Gastro Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL NUCLEAR MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR LABORATORY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG GRESHAM XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
Deschutes County Bend Ensworth SBHC,1.2.840.114350.1.13.66.2.7.2.696570.14
RRMC Radiation Oncology,1.2.840.114350.1.13.333.2.7.2.696570.10
Mosaic Redmond Dental Clinic,1.2.840.114350.1.13.66.2.7.2.696570.70
Deschutes County Redmond High SBHC,1.2.840.114350.1.13.66.2.7.2.696570.14
Rogue Community Health Medford Dental,1.2.840.114350.1.13.66.2.7.2.696570.34
WOMENS HEALTH CNTR HAPPY VALLEY,1.2.840.114350.1.13.297.2.7.2.696570.40
Deschutes County Sisters SBHC,1.2.840.114350.1.13.66.2.7.2.696570.14
PROVIDENCE LUNG NODULE CLINIC WEST PORTLAND,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Ashland General Surgery,1.2.840.114350.1.13.297.2.7.2.696570.40
LA CLINICA EAST MEDFORD DENTAL MOBILE HEALTH,1.2.840.114350.1.13.66.2.7.2.696570.30
PROVIDENCE WILLAMETTE FALLS MED CTR PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
Deschutes County Redmond Lynch SBHC,1.2.840.114350.1.13.66.2.7.2.696570.14
Rogue Community Health Butte Falls Dental,1.2.840.114350.1.13.66.2.7.2.696570.34
PROVIDENCE PEDIATRIC SURGERY PLAZA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR IP NUTRITION SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR DIETARY,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC PATIENT ACCESS,1.2.840.114350.1.13.333.2.7.2.696570.10
PMG HILLSBORO PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR INTEGRATIVE MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Rogue Community Health Behavioral Health Butte Falls,1.2.840.114350.1.13.66.2.7.2.696570.34
RRMC Cardiac Studies NM Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
AACH Discharge Planner,1.2.840.114350.1.13.333.2.7.2.696570.10
CROOK COUNTY MATERNAL CHILD AND HEALTH,1.2.840.114350.1.13.66.2.7.2.696570.56
PROVIDENCE SAINT VINCENT MED CTR ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
Deschutes County Behavioral Health Kids Center,1.2.840.114350.1.13.66.2.7.2.696570.14
PROVIDENCE PORTLAND MED CTR CV INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
Mosaic Redmond High School Based Health Center,1.2.840.114350.1.13.66.2.7.2.696570.70
PROVIDENCE PORTLAND MED CTR OP MENTAL HEALTH,1.2.840.114350.1.13.297.2.7.2.696570.40
SKY LAKES MEDICAL CENTER DIAGNOSTIC IMAGING,1.2.840.114350.1.13.333.2.7.2.696570.60
Comprehensive Neurological Consultants,1.2.840.114350.1.13.297.2.7.2.696570.40
Deschutes County Bend High SBHC,1.2.840.114350.1.13.66.2.7.2.696570.14
PROV EC WALGREENS MURRAYHILL,1.2.840.114350.1.13.297.2.7.2.696570.405776
Sky Lakes Urology Clinic on Bryant Williams,1.2.840.114350.1.13.333.2.7.2.696570.60
Providence Medical Group Gateway Facility Rounding,1.2.840.114350.1.13.297.2.7.2.696570.40
POH MILL PLAIN,1.2.840.114350.1.13.297.2.7.2.696570.405744
PMG WILSONVILLE PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence St Vincent Prenatal Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL MAIN LAB PSC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR ACCESS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR SPEECH MOB IP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR CANBY XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
